41c5er,Bread,Food,6,66,33.0
41c5er,Doll,Toys,8,9,4.5
x2ju82,Wig,Misc,9,15,4.5
41c5er,Kite,Toys,9,43,17.2
41c5er,Bread,Food,1,48,14.399999999999999
s23i8u,Milk,Food,9,72,21.599999999999998
x2ju82,Bread,Food,10,71,21.3
2ed9k6,Chess,Toys,10,3,1.2000000000000002
x2ju82,Ball,Toys,8,90,18.0
x2ju82,Candy,Food,6,92,9.200000000000001
s23i8u,Bread,Food,8,91,45.5
iz710p,Milk,Food,3,63,25.200000000000003
41c5er,Toy car,Toys,5,59,29.5
x2ju82,Toy car,Toys,7,11,0.0
wmx586,Wig,Misc,4,47,4.7
iz710p,Cheese,Food,9,99,49.5
20r1wv,Beer,Food,8,86,25.8
41c5er,Beer,Food,8,35,3.5
2ed9k6,Chess,Toys,1,10,3.0
s23i8u,Beer,Food,1,18,3.6
