38uhe8,Kite,Toys,3,73,7.300000000000001
7w1t3i,Wig,Misc,7,16,3.2
7w1t3i,Bread,Food,1,83,16.6
9c09vl,Beer,Food,8,96,19.200000000000003
h8p6w4,Candy,Food,10,80,8.0
vu96g5,Candy,Food,1,46,4.6000000000000005
7w1t3i,Wig,Misc,2,10,0.0
l1a2d1,Cheese,Food,10,77,30.8
9c09vl,Spinner,Toys,5,13,5.2
38uhe8,Beer,Food,7,48,4.800000000000001
2jb1j9,Lego,Toys,9,12,4.800000000000001
2jb1j9,Cheese,Food,1,6,2.4000000000000004
9c09vl,Lighter,Misc,3,77,23.099999999999998
38uhe8,Kite,Toys,9,16,6.4
2jb1j9,Chess,Toys,2,2,0.6
9c09vl,Doll,Toys,10,27,2.7
