y30lb4,Meat,Food,5,52,10.4
2jgv38,Milk,Food,10,76,15.200000000000001
y30lb4,Fish,Food,4,91,0.0
06ggi4,Oil,Misc,5,2,0.0
2jgv38,Shovel,Misc,7,2,0.0
h7n6z2,Candy,Food,8,43,21.5
c03vj6,Doll,Toys,8,60,30.0
wa199l,Shovel,Misc,7,79,0.0
pfs157,Wig,Misc,7,63,12.600000000000001
2jgv38,Oil,Misc,5,49,19.6
a7r56n,Bread,Food,9,14,5.6000000000000005
c6m0n7,Fish,Food,6,15,0.0
c6m0n7,Chess,Toys,10,66,26.400000000000002
pfs157,Light bulb,Misc,5,1,0.2
c6m0n7,Kite,Toys,4,61,12.200000000000001
y30lb4,Cheese,Food,5,91,9.1
wa199l,Lighter,Misc,10,15,3.0
g324wv,Bread,Food,10,41,12.299999999999999
a7r56n,Bread,Food,6,73,21.9
c03vj6,Fish,Food,3,11,4.4
