2fb73x,Light bulb,Misc,10,45,0.0
73rej0,Fish,Food,2,83,24.9
z9a03x,Ball,Toys,2,2,0.6
z9a03x,Meat,Food,7,37,18.5
lgy672,Cheese,Food,9,98,49.0
z9a03x,Cheese,Food,9,35,17.5
w6s8z1,Candy,Food,2,91,45.5
73rej0,Beer,Food,5,21,4.2
440rei,Oil,Misc,7,79,31.6
73rej0,Candy,Food,4,54,27.0
69e6in,Meat,Food,7,43,17.2
440rei,Doll,Toys,9,55,0.0
o007vh,Beer,Food,5,14,5.6000000000000005
lgy672,Chess,Toys,2,73,21.9
dg7a45,Lego,Toys,4,36,7.2
73rej0,Oil,Misc,4,46,0.0
73rej0,Chess,Toys,6,63,0.0
69e6in,Spinner,Toys,7,48,9.600000000000001
z9a03x,Doll,Toys,9,39,3.9000000000000004
