jrj977,Kite,Toys,3,24,7.199999999999999
z386xo,Ball,Toys,5,26,0.0
b367fl,Cheese,Food,2,99,39.6
z386xo,Bread,Food,6,12,4.800000000000001
9k48mf,Beer,Food,1,63,12.600000000000001
8oy9x4,Kite,Toys,5,24,12.0
8oy9x4,Shovel,Misc,8,28,5.6000000000000005
68n0yg,Toy car,Toys,3,100,0.0
68n0yg,Spinner,Toys,6,9,4.5
68n0yg,Oil,Misc,9,51,15.299999999999999
8l59cz,Candy,Food,8,75,22.5
8l59cz,Kite,Toys,1,79,23.7
9k48mf,Candy,Food,6,70,28.0
jrj977,Ball,Toys,3,8,2.4
b367fl,Milk,Food,9,23,2.3000000000000003
z386xo,Toy car,Toys,6,53,10.600000000000001
8l59cz,Kite,Toys,6,35,17.5
z386xo,Gloves,Misc,9,80,0.0
